"","PANEL","FILE","ID","CHR","P0","P1","HSQ","BEST.GWAS.ID","BEST.GWAS.Z","EQTL.ID","EQTL.R2","EQTL.Z","EQTL.GWAS.Z","NSNP","NWGT","MODEL","MODELCV.R2","MODELCV.PV","TWAS.Z","TWAS.P","POS","cancer_type"
"20","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.WDR63_126820.wgt.RDat","WDR63","1",85527993,85598820,0.2609,"rs10493761",2.216,"rs7534574",0.05516,3.94,-0.0405,92,4,"lasso",0.073,0.0053,-0.2466,0.8052,85563406.5,"Melanoma"
"21","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.CCBL2_56267.wgt.RDat","CCBL2","1",89401456,89458643,0.2351,"rs6660788",-1.784,"rs1325923",0.19893,-4.56,-0.1881,61,1,"top1",0.2,5e-06,0.1881,0.8508,89430049.5,"Melanoma"
"22","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.GBP3_2635.wgt.RDat","GBP3","1",89472367,89488549,0.3456,"rs6660788",-1.784,"rs17433780",0.13111,-4.11,-0.4097,43,1,"top1",0.13,0.00023,0.4097,0.682,89480458,"Melanoma"
"23","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.AMIGO1_57463.wgt.RDat","AMIGO1","1",110049447,110052336,0.1491,"rs3738773",2.469,"rs732715",0.08223,3.77,0.8855,46,1,"top1",0.082,0.0032,0.8855,0.3759,110050891.5,"Melanoma"
"24","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.GSTM5_2949.wgt.RDat","GSTM5","1",110254864,110260888,0.2267,"rs3754446",-2.062,"rs3754446",-0.00341,-3.31,-2.0617,47,15,"enet",0.085,0.0028,1.2657,0.2056,110257876,"Melanoma"
"25","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.GSTM3_2947.wgt.RDat","GSTM3","1",110276554,110283660,0.2347,"rs3754446",-2.062,"rs1332018",0.07196,-3.54,1.8836,51,5,"lasso",0.11,0.00074,-1.2995,0.1938,110280107,"Melanoma"
"26","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ST7L_54879.wgt.RDat","ST7L","1",113066142,113162405,0.2856,"rs17030613",1.376,"rs2932536",0.28752,5.2,0.3243,56,1,"top1",0.29,2.2e-08,0.3243,0.7457,113114273.5,"Melanoma"
"27","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.WARS2_10352.wgt.RDat","WARS2","1",119573841,119683295,0.2953,"rs6678854",2.228,"rs2645303",0.12447,-4.67,-1.5794,73,73,"blup",0.29,2.3e-08,1.7865,0.074,119628568,"Melanoma"
"28","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.NOTCH2NL_388677.wgt.RDat","NOTCH2NL","1",145209111,145295525,0.3755,"rs2274617",1.421,"rs7211",0.23274,4.72,1.0799,15,15,"blup",0.25,2.1e-07,1.4432,0.149,145252318,"Melanoma"
"29","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.FCGR1A_2209.wgt.RDat","FCGR1A","1",149754250,149764073,0.0998,"rs4926386",-1.676,"rs3767628",0.03453,-3.43,-1.3891,15,4,"lasso",0.036,0.039,1.3391,0.1805,149759161.5,"Melanoma"
"30","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.HORMAD1_84072.wgt.RDat","HORMAD1","1",150670542,150693352,0.1634,"rs3754207",-2.094,"rs2867302",0.17281,4.2,-1.0439,44,1,"top1",0.17,2.2e-05,-1.0439,0.2965,150681947,"Melanoma"
"31","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.SNX27_81609.wgt.RDat","SNX27","1",151584662,151671559,0.5117,"rs6696250",-2.261,"rs6690942",-0.00707,3.12,-1.0388,52,52,"blup",0.092,0.0019,-1.1059,0.2688,151628110.5,"Melanoma"
"32","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.LOC100132111_100132111.wgt.RDat","LOC100132111","1",151810945,151816640,0.1578,"rs9826",-2.647,"rs1521177",0.03687,3.26,-0.7954,54,54,"blup",0.055,0.014,-1.188,0.2348,151813792.5,"Melanoma"
"33","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.DENND4B_9909.wgt.RDat","DENND4B","1",153901977,153919154,0.1031,"rs12043350",-1.604,"rs11264743",0.08951,3.47,-1.2582,37,1,"top1",0.09,0.0022,-1.2582,0.2083,153910565.5,"Melanoma"
"34","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.RAB13_5872.wgt.RDat","RAB13","1",153954128,153958806,0.1332,"rs12048137",-1.793,"rs11264743",0.07963,3.54,-1.2582,30,1,"top1",0.08,0.0037,-1.2582,0.2083,153956467,"Melanoma"
"35","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.IL6R_3570.wgt.RDat","IL6R","1",154377669,154440188,0.1197,"rs1386821",2.558,"rs4129267",0.03848,3.76,-0.7944,57,57,"blup",0.11,6e-04,0.4686,0.6393,154408928.5,"Melanoma"
"36","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.FCRL3_115352.wgt.RDat","FCRL3","1",157646278,157670775,0.3264,"rs2785664",-2.069,"rs11264799",0.04398,3.77,1.019,56,56,"blup",0.12,0.00045,1.1419,0.2535,157658526.5,"Melanoma"
"37","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.COPA_1314.wgt.RDat","COPA","1",160258378,160313354,0.2454,"rs12140856",2.68,"rs2275700",-0.00724,3.09,-0.3679,52,52,"blup",0.073,0.0054,-0.3795,0.7043,160285866,"Melanoma"
"38","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.TSTD1_100131187.wgt.RDat","TSTD1","1",161007424,161008774,0.2346,"rs1467742",-2.156,"rs4559524",0.04558,3.72,-0.0558,45,1,"top1",0.046,0.023,-0.0558,0.9555,161008099,"Melanoma"
"39","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.NME7_29922.wgt.RDat","NME7","1",169101771,169337186,0.1975,"rs1200160",2.503,"rs10919132",0.02533,-3.27,1.311,149,1,"top1",0.025,0.07,-1.311,0.1899,169219478.5,"Melanoma"
"40","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.BAT2L2_23215.wgt.RDat","BAT2L2","1",171454666,171562649,0.2866,"rs10913301",2.081,"rs743994",0.05047,3.58,0.7603,98,1,"top1",0.05,0.018,0.7603,0.4471,171508657.5,"Melanoma"
"41","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ABL2_27.wgt.RDat","ABL2","1",179068463,179198819,0.1485,"rs2025580",2.088,"rs3829794",0.13075,-3.64,0.6792,98,1,"top1",0.13,0.00023,-0.6792,0.497,179133641,"Melanoma"
"42","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.SOAT1_6646.wgt.RDat","SOAT1","1",179263017,179324452,0.2323,"rs2492778",1.777,"rs10798670",0.05934,3.13,0.3241,78,78,"blup",0.063,0.0092,-1.0593,0.2895,179293734.5,"Melanoma"
"43","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.SHISA4_149345.wgt.RDat","SHISA4","1",201858032,201861426,0.22,"rs2820315",1.803,"rs6427922",0.1346,-3.81,-1.1415,37,1,"top1",0.13,0.00019,1.1415,0.2537,201859729,"Melanoma"
"44","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.RNPEP_6051.wgt.RDat","RNPEP","1",201951766,201975274,0.2062,"rs4131469",2.397,"rs2819365",0.08381,3.68,0.8465,56,9,"enet",0.12,0.00038,1.1234,0.2613,201963520,"Melanoma"
"45","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.MDM4_4194.wgt.RDat","MDM4","1",204485511,204677661,0.5264,"rs11240762",3.114,"rs11801229",0.01046,-3.07,0.2806,134,7,"lasso",0.054,0.015,-1.9716,0.0487,204581586,"Melanoma"
"46","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.PM20D1_148811.wgt.RDat","PM20D1","1",205797154,205819245,0.1729,"rs1891460",1.453,"rs708727",0.10866,-3.98,1.4287,47,1,"top1",0.11,0.00078,-1.4287,0.1531,205808199.5,"Melanoma"
"47","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.LQK1_642946.wgt.RDat","LQK1","1",213029947,213031480,0.6104,"rs1284852",-2.296,"rs2279692",0.51606,-6.96,-0.2539,41,1,"top1",0.52,4.6e-16,0.2539,0.7996,213030713.5,"Melanoma"
"48","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ESRRG_2104.wgt.RDat","ESRRG","1",216676588,217311097,0.4349,"rs10779276",2.712,"rs2185226",-0.01086,-3.18,0.7375,591,591,"blup",0.078,0.0041,-0.2534,0.8,216993842.5,"Melanoma"
"49","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.CDC42BPA_8476.wgt.RDat","CDC42BPA","1",227177567,227505826,0.4158,"rs12739480",-2.044,"rs4653474",-0.00305,2.94,-0.2394,221,221,"blup",-0.00071,0.34,-0.793,0.4278,227341696.5,"Melanoma"
"50","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.URB2_9816.wgt.RDat","URB2","1",229761981,229795946,0.3001,"rs7541744",-1.663,"rs17645731",0.12861,-4.29,-1.2832,86,16,"enet",0.16,5.2e-05,0.9596,0.3372,229778963.5,"Melanoma"
"51","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.AGT_183.wgt.RDat","AGT","1",230838274,230850336,0.3237,"rs2493147",1.829,"rs4762",0.18883,4.85,0.5748,125,2,"lasso",0.2,5.4e-06,0.7431,0.4574,230844305,"Melanoma"
"52","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.C1orf57_84284.wgt.RDat","C1orf57","1",233086370,233114219,0.5711,"rs1073282",1.377,"rs12410594",0.09805,-4.83,0.3854,64,4,"lasso",0.16,3.8e-05,0.0563,0.9551,233100294.5,"Melanoma"
"53","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ERO1LB_56605.wgt.RDat","ERO1LB","1",236378424,236445339,0.3437,"rs10802447",-2.328,"rs1110423",0.18183,-4.81,-1.5859,73,1,"top1",0.18,1.3e-05,1.5859,0.1128,236411881.5,"Melanoma"
"54","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.KMO_8564.wgt.RDat","KMO","1",241695680,241758943,0.5255,"rs2275163",-2.15,"rs6681337",0.21639,4.7,0.3848,87,1,"top1",0.22,1.8e-06,0.3848,0.7004,241727311.5,"Melanoma"
"55","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.EFCAB2_84288.wgt.RDat","EFCAB2","1",245133171,245288530,0.3587,"rs6672147",2.667,"rs2291426",0.21536,4.85,0.1692,104,1,"top1",0.22,1.9e-06,0.1692,0.8656,245210850.5,"Melanoma"
"56","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ZNF695_57116.wgt.RDat","ZNF695","1",247108854,247242069,0.4244,"rs12135374",-1.37,"rs12135374",0.1646,-4.01,-1.3696,86,1,"top1",0.16,3.6e-05,1.3696,0.1708,247175461.5,"Melanoma"
"57","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.C1QL3_389941.wgt.RDat","C1QL3","10",16555742,16564004,0.509,"rs11254009",-3.458,"rs7909832",0.308467,-5.68,-0.3859,65,1,"top1",0.31,5.5e-09,0.3859,0.7,16559873,"Melanoma"
"58","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.MASTL_84930.wgt.RDat","MASTL","10",27443717,27475848,0.221,"rs2995499",-1.703,"rs3758438",0.05994,-3.57,0.5635,61,61,"blup",0.078,0.0042,-0.234,0.815,27459782.5,"Melanoma"
"59","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.LOC441666_441666.wgt.RDat","LOC441666","10",42827315,42863493,0.174,"rs2505862",-0.443,"rs11238776",0.014123,-3.78,0.1928,29,29,"blup",0.11,0.00095,-0.2767,0.782,42845404,"Melanoma"
"60","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ARID5B_84159.wgt.RDat","ARID5B","10",63661443,63856703,0.337,"rs10995024",-2.87,"rs2393726",0.027216,-3.74,-1.227,112,1,"top1",0.027,0.063,1.227,0.22,63759073,"Melanoma"
"61","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.EGR2_1959.wgt.RDat","EGR2","10",64571760,64578927,0.123,"rs16917743",-2.593,"rs1571921",0.100063,3.51,0.5919,56,1,"top1",0.1,0.0012,0.5919,0.554,64575343.5,"Melanoma"
"62","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.STOX1_219736.wgt.RDat","STOX1","10",70587294,70655209,0.519,"rs12263044",-1.516,"rs12783555",0.200589,4.43,0.6873,51,1,"top1",0.2,4.5e-06,0.6873,0.492,70621251.5,"Melanoma"
"63","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.LRRC20_55222.wgt.RDat","LRRC20","10",72058729,72142382,0.277,"rs11818439",-2.541,"rs12780221",-0.011109,-3.57,-0.734,106,106,"blup",0.017,0.11,-0.0284,0.977,72100555.5,"Melanoma"
"64","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.C10orf4_118924.wgt.RDat","C10orf4","10",95428329,95462913,0.118,"rs2077733",2.957,"rs7919319",-0.000718,3.42,1.1143,86,4,"lasso",0.012,0.15,1.2932,0.196,95445621,"Melanoma"
"65","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.CWF19L1_55280.wgt.RDat","CWF19L1","10",101992055,102027437,0.199,"rs2305386",1.593,"rs12784396",0.127473,3.96,0.1209,56,1,"top1",0.13,0.00028,0.1209,0.904,102009746,"Melanoma"
"66","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.BTRC_8945.wgt.RDat","BTRC","10",103113825,103317068,0.159,"rs7093712",-1.984,"rs7081112",0.074652,-3.57,1.2771,89,89,"blup",0.09,0.0022,-0.964,0.335,103215446.5,"Melanoma"
"67","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ITPRIP_85450.wgt.RDat","ITPRIP","10",106071901,106098162,0.13,"rs157077",-1.574,"rs7072534",0.125692,3.64,-0.0676,46,1,"top1",0.13,0.00031,-0.0676,0.946,106085031.5,"Melanoma"
"68","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.METTL10_399818.wgt.RDat","METTL10","10",126447406,126480439,0.387,"rs10901827",2.403,"rs1351977",0.209925,4.88,-0.4827,43,1,"top1",0.21,2.6e-06,-0.4827,0.629,126463922.5,"Melanoma"
"69","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.JAKMIP3_282973.wgt.RDat","JAKMIP3","10",133918313,133998312,0.222,"rs870553",3.181,"rs7914962",-0.005929,3.08,-0.1547,123,123,"blup",0.059,0.011,-0.3989,0.69,133958312.5,"Melanoma"
"70","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.DPYSL4_10570.wgt.RDat","DPYSL4","10",134000414,134019278,0.265,"rs870553",3.181,"rs7094598",0.065953,3.67,-0.2454,64,64,"blup",0.068,0.0071,-0.0527,0.958,134009846,"Melanoma"
"71","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ECHS1_1892.wgt.RDat","ECHS1","10",135175988,135186908,0.238,"rs1049951",1.673,"rs11101745",0.025073,-3.08,-0.1068,40,40,"blup",0.092,0.0019,0.3791,0.705,135181448,"Melanoma"
"72","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.IRF7_3665.wgt.RDat","IRF7","11",612556,615999,0.237,"rs12421158",-2.191,"rs12805435",0.01718,-3.19,-1.1726,46,46,"blup",0.14,0.00015,0.4859,0.627,614277.5,"Melanoma"
"73","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.MUC6_4588.wgt.RDat","MUC6","11",1012824,1036706,0.26,"rs6597947",3.596,"rs11246381",0.00408,-3.51,0.5087,57,9,"enet",0.031,0.051,-1.8833,0.0597,1024765,"Melanoma"
"74","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.TMEM41B_440026.wgt.RDat","TMEM41B","11",9302201,9336296,0.158,"rs10770022",-1.345,"rs7929621",0.02091,-3.44,0.3488,32,6,"enet",0.069,0.0066,-0.9259,0.3545,9319248.5,"Melanoma"
"75","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.INSC_387755.wgt.RDat","INSC","11",15133970,15268752,0.412,"rs2350993",-4.183,"rs2350993",-0.01108,-3.2,-4.1834,143,14,"enet",0.026,0.066,2.1079,0.035,15201361,"Melanoma"
